system:index,class_name,label,lat,lon,run_tag,sample_id,season,tile_id,unique_id,weight,.geo,NDVI_AUC,NDVI_drop,NDVI_peak,NDVI_slopeEarly,NDWI_AUC,NDWI_drop,NDWI_peak,GNDVI_AUC,GNDVI_drop,SAVI_AUC,MSAVI2_AUC,h_NDVI_drop,h_NDWI_drop,h_AUC_z,h_NDVI_AUC_cur
0_1_111,healthy,0,30.601379648116737,75.40970534611212,rabi_2023_24,0_1_111,2023-11-01_to_2024-04-15,0,sample_0_1_111,0.1000000014901161,"{""type"":""MultiPoint"",""coordinates"":[]}",81.30561,0.025444746,0.59242487,0.0017133699,36.497578,4.246831e-05,0.356816,80.67886,0.004812777,121.94452,107.0901,0.025444746,4.246831e-05,0.14085251,81.30561
0_1_113,healthy,0,30.649888673459188,75.5674495100035,rabi_2023_24,0_1_113,2023-11-01_to_2024-04-15,0,sample_0_1_113,0.1000000014901161,"{""type"":""MultiPoint"",""coordinates"":[]}",94.73813,0.0022785068,0.89472866,0.0041125747,36.868797,0.0,0.55346,92.821976,0.022835255,142.09015,113.83961,0.0022785068,0.0,1.4920483,94.73813
0_1_115,healthy,0,30.63803091170881,75.49235035225111,rabi_2023_24,0_1_115,2023-11-01_to_2024-04-15,0,sample_0_1_115,0.1000000014901161,"{""type"":""MultiPoint"",""coordinates"":[]}",91.395,0.0,0.87177634,0.019260762,34.451916,0.0,0.49403536,90.275154,0.0,137.07297,108.74744,0.0,0.0,-1.4972333,91.395
0_1_116,healthy,0,30.62779011746985,75.41365793336224,rabi_2023_24,0_1_116,2023-11-01_to_2024-04-15,0,sample_0_1_116,0.1000000014901161,"{""type"":""MultiPoint"",""coordinates"":[]}",99.64941,0.0,0.9012645,-9999.0,51.521908,0.017071903,0.57771456,96.4707,0.0,149.4582,113.520256,0.0,0.017071903,2.6127672,99.64941
0_1_119,healthy,0,30.66318373966416,75.63140955823282,rabi_2023_24,0_1_119,2023-11-01_to_2024-04-15,0,sample_0_1_119,0.1000000014901161,"{""type"":""MultiPoint"",""coordinates"":[]}",108.68858,0.0,0.877674,0.00818731,43.266914,0.0,0.5102509,98.90601,0.0,163.01115,126.18844,0.0,0.0,1.9159473,108.68858
0_1_123,healthy,0,30.66785497914158,75.5388830839685,rabi_2023_24,0_1_123,2023-11-01_to_2024-04-15,0,sample_0_1_123,0.1000000014901161,"{""type"":""MultiPoint"",""coordinates"":[]}",102.51337,0.00015372038,0.8993031,0.022972938,47.498985,0.009519756,0.5442284,98.77519,1.9848347e-05,153.75145,117.83462,0.00015372038,0.009519756,1.4021835,102.51337
0_1_125,healthy,0,30.616471344889945,75.53493049671837,rabi_2023_24,0_1_125,2023-11-01_to_2024-04-15,0,sample_0_1_125,0.1000000014901161,"{""type"":""MultiPoint"",""coordinates"":[]}",102.1089,0.0023853183,0.8824812,0.018722093,53.153915,0.0,0.56643355,98.67534,0.022219837,153.14667,117.53505,0.0023853183,0.0,0.87738436,102.1089
0_1_127,healthy,0,30.714567373915795,75.64596226583555,rabi_2023_24,0_1_127,2023-11-01_to_2024-04-15,0,sample_0_1_127,0.1000000014901161,"{""type"":""MultiPoint"",""coordinates"":[]}",103.006996,0.0,0.78895175,0.0026244544,36.88946,0.017703503,0.36509466,94.52915,0.009844005,154.49078,123.99609,0.0,0.017703503,2.006493,103.006996
0_1_128,healthy,0,30.68941454596045,75.41383759641906,rabi_2023_24,0_1_128,2023-11-01_to_2024-04-15,0,sample_0_1_128,0.1000000014901161,"{""type"":""MultiPoint"",""coordinates"":[]}",95.170845,0.0026934743,0.91131276,0.02265365,41.22157,0.00054365396,0.57557356,93.47086,0.0,142.73587,111.74514,0.0026934743,0.00054365396,0.44419405,95.170845
0_1_131,healthy,0,30.648631032061424,75.51265227767222,rabi_2023_24,0_1_131,2023-11-01_to_2024-04-15,0,sample_0_1_131,0.1000000014901161,"{""type"":""MultiPoint"",""coordinates"":[]}",93.435455,0.0,0.8795421,0.013822515,35.66326,0.008340657,0.5263079,86.22648,0.0,140.13264,110.05235,0.0,0.008340657,-0.15044887,93.435455
0_1_138,healthy,0,30.67432284918724,75.58793109848143,rabi_2023_24,0_1_138,2023-11-01_to_2024-04-15,0,sample_0_1_138,0.1000000014901161,"{""type"":""MultiPoint"",""coordinates"":[]}",95.03951,0.0029551983,0.8991548,0.016435964,42.45853,0.010561526,0.5535202,92.4351,0.0010406375,142.542,112.09546,0.0029551983,0.010561526,0.8052696,95.03951
0_1_143,healthy,0,30.603535604798623,75.48372652552356,rabi_2023_24,0_1_143,2023-11-01_to_2024-04-15,0,sample_0_1_143,0.1000000014901161,"{""type"":""MultiPoint"",""coordinates"":[]}",96.7496,0.0,0.9081895,0.022095984,39.288147,0.012910485,0.56346905,92.77028,0.0,145.1065,112.05314,0.0,0.012910485,0.6382726,96.7496
0_1_153,healthy,0,30.689594209017272,75.57104277113999,rabi_2023_24,0_1_153,2023-11-01_to_2024-04-15,0,sample_0_1_153,0.1000000014901161,"{""type"":""MultiPoint"",""coordinates"":[]}",104.958565,0.004049778,0.8889487,0.013413608,49.33689,0.0061065555,0.5536988,96.5376,0.006034851,157.41953,120.607414,0.004049778,0.0061065555,1.9740787,104.958565
0_1_154,healthy,0,30.693906122381048,75.44545829442008,rabi_2023_24,0_1_154,2023-11-01_to_2024-04-15,0,sample_0_1_154,0.1000000014901161,"{""type"":""MultiPoint"",""coordinates"":[]}",88.61946,0.0,0.87853485,-9999.0,39.629784,0.009322822,0.55775636,85.3437,0.0,132.91386,105.3637,0.0,0.009322822,-1.4029996,88.61946
0_1_156,healthy,0,30.702170622994945,75.42587502122626,rabi_2023_24,0_1_156,2023-11-01_to_2024-04-15,0,sample_0_1_156,0.1000000014901161,"{""type"":""MultiPoint"",""coordinates"":[]}",102.683685,0.015892565,0.88650197,0.010132407,45.13677,0.0030792952,0.52290106,93.27623,0.017549276,154.00693,118.50848,0.015892565,0.0030792952,1.2690592,102.683685
0_1_162,healthy,0,30.659051489357207,75.51570654963822,rabi_2023_24,0_1_162,2023-11-01_to_2024-04-15,0,sample_0_1_162,0.1000000014901161,"{""type"":""MultiPoint"",""coordinates"":[]}",104.10203,0.0008933544,0.8943198,0.014062131,50.97034,0.0100954175,0.57845306,95.07986,0.001258254,156.13345,119.69734,0.0008933544,0.0100954175,1.5565366,104.10203
0_1_168,healthy,0,30.67072958805076,75.49522496116029,rabi_2023_24,0_1_168,2023-11-01_to_2024-04-15,0,sample_0_1_168,0.1000000014901161,"{""type"":""MultiPoint"",""coordinates"":[]}",96.84221,0.007638514,0.88379437,0.017967956,41.57693,0.010310233,0.53337187,92.83182,0.011176109,145.24464,114.6736,0.007638514,0.010310233,0.12591553,96.84221
0_1_171,healthy,0,30.65509890210708,75.665904865143,rabi_2023_24,0_1_171,2023-11-01_to_2024-04-15,0,sample_0_1_171,0.1000000014901161,"{""type"":""MultiPoint"",""coordinates"":[]}",101.07324,0.0,0.8918746,0.016855864,42.981354,0.0,0.5523442,92.35181,0.0011590719,151.59123,115.78399,0.0,0.0,-0.04733971,101.07324
0_1_178,healthy,0,30.66785497914158,75.42677333651038,rabi_2023_24,0_1_178,2023-11-01_to_2024-04-15,0,sample_0_1_178,0.1000000014901161,"{""type"":""MultiPoint"",""coordinates"":[]}",90.36747,0.0,0.8910376,-9999.0,38.873337,0.0,0.54650164,84.605835,0.0,135.53252,105.40873,0.0,0.0,-0.07405502,90.36747
0_1_187,healthy,0,30.69696039434705,75.48372652552356,rabi_2023_24,0_1_187,2023-11-01_to_2024-04-15,0,sample_0_1_187,0.1000000014901161,"{""type"":""MultiPoint"",""coordinates"":[]}",89.84897,0.0,0.84969985,0.017477725,23.572222,0.0,0.4356037,89.25537,0.0,134.75406,109.05234,0.0,0.0,-0.8400676,89.84897
0_1_189,healthy,0,30.630305400265385,75.42066479257838,rabi_2023_24,0_1_189,2023-11-01_to_2024-04-15,0,sample_0_1_189,0.1000000014901161,"{""type"":""MultiPoint"",""coordinates"":[]}",103.06774,0.0010951161,0.87864614,0.008824521,47.647808,0.0,0.5440826,96.05306,0.0,154.58257,120.093834,0.0010951161,0.0,1.7849317,103.06774
0_1_190,healthy,0,30.655817554334376,75.37754565894063,rabi_2023_24,0_1_190,2023-11-01_to_2024-04-15,0,sample_0_1_190,0.1000000014901161,"{""type"":""MultiPoint"",""coordinates"":[]}",90.18298,0.0,0.8754234,-9999.0,38.606762,0.0,0.53100514,84.2622,0.0,135.25592,105.842255,0.0,0.0,0.9178755,90.18298
0_1_191,healthy,0,30.70863849304061,75.37359307169051,rabi_2023_24,0_1_191,2023-11-01_to_2024-04-15,0,sample_0_1_191,0.1000000014901161,"{""type"":""MultiPoint"",""coordinates"":[]}",94.259544,0.01909858,0.86172014,0.018568728,35.645267,0.0,0.48374552,92.74742,0.00017678738,141.3716,112.16244,0.01909858,0.0,0.6533167,94.259544
0_1_192,healthy,0,30.62114258436737,75.40772905248706,rabi_2023_24,0_1_192,2023-11-01_to_2024-04-15,0,sample_0_1_192,0.1000000014901161,"{""type"":""MultiPoint"",""coordinates"":[]}",97.845566,0.0,0.8970215,-9999.0,41.621586,0.0,0.54563046,90.04323,0.0,146.74748,112.415146,0.0,0.0,1.9450638,97.845566
0_1_194,healthy,0,30.671448240278057,75.6486572116879,rabi_2023_24,0_1_194,2023-11-01_to_2024-04-15,0,sample_0_1_194,0.1000000014901161,"{""type"":""MultiPoint"",""coordinates"":[]}",109.49694,0.0035218596,0.89604014,0.009353248,54.457024,0.0,0.57356375,103.744644,0.0003272295,164.22646,125.698044,0.0035218596,0.0,6.139803,109.49694
0_1_196,healthy,0,30.67342453390312,75.37233543029274,rabi_2023_24,0_1_196,2023-11-01_to_2024-04-15,0,sample_0_1_196,0.1000000014901161,"{""type"":""MultiPoint"",""coordinates"":[]}",97.62688,0.0,0.8750591,0.01910298,36.480087,0.0,0.4724432,97.338905,0.0,146.41985,114.805984,0.0,0.0,2.6684275,97.62688
0_1_204,healthy,0,30.709536808324724,75.44779391415878,rabi_2023_24,0_1_204,2023-11-01_to_2024-04-15,0,sample_0_1_204,0.1000000014901161,"{""type"":""MultiPoint"",""coordinates"":[]}",87.10268,0.022138,0.8848471,-9999.0,38.165173,0.0,0.54671335,85.022865,0.031418443,130.64,100.841644,0.022138,0.0,-1.33049,87.10268
0_1_211,healthy,0,30.694265448494694,75.59475829464074,rabi_2023_24,0_1_211,2023-11-01_to_2024-04-15,0,sample_0_1_211,0.1000000014901161,"{""type"":""MultiPoint"",""coordinates"":[]}",104.38458,0.008322835,0.8895284,0.010318618,47.490963,0.0022755861,0.5585285,94.63844,0.0045206547,156.55814,119.06886,0.008322835,0.0022755861,2.189713,104.38458
